Year,Total,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2011,8597,799,634,709,728,695,673,730,738,737,744,705,705
2012,8184,691,707,708,677,686,577,690,723,684,681,670,690
2013,7748,691,612,640,665,642,597,639,656,649,673,645,639
2014,7959,676,558,604,639,684,657,704,768,667,675,676,651
2015,8206,638,648,770,645,687,646,714,694,626,686,712,740
2016,8444,703,697,666,684,695,655,746,794,668,740,753,643
2017,7843,689,592,676,674,641,636,686,663,629,619,686,652
2018,7810,713,618,668,648,614,654,626,667,618,642,710,632
2019,7822,677,581,624,635,660,655,687,622,659,692,676,654
2020,5556,647,489,520,296,262,365,479,437,476,512,485,588
2021,6039,556,475,540,499,470,472,474,534,533,440,521,525
2022,6883,582,430,501,547,565,544,625,606,582,607,635,659
2023,7080,576,527,642,601,604,593,611,626,562,653,561,524
